Region;Units Sold
Europe;9202
Middle East and North Africa;1743
Sub-Saharan Africa;461
Europe;1144
Central America and the Caribbean;6607
Middle East and North Africa;1700
Europe;8303
Sub-Saharan Africa;326
Asia;8712
Asia;6435
Sub-Saharan Africa;3500
Europe;1942
Australia and Oceania;830
Middle East and North Africa;1261
Europe;1366
Europe;1305
Sub-Saharan Africa;8272
Australia and Oceania;1490
Central America and the Caribbean;7213
Middle East and North Africa;3727
Asia;6352
Sub-Saharan Africa;2433
Sub-Saharan Africa;6353
Europe;4521
Australia and Oceania;381
Asia;9405
North America;4099
Middle East and North Africa;8999
Asia;5672
Middle East and North Africa;7717
Asia;5764
Asia;2473
Sub-Saharan Africa;7538
Central America and the Caribbean;2682
Sub-Saharan Africa;6659
Europe;256
Middle East and North Africa;1291
Sub-Saharan Africa;9612
Europe;2098
Central America and the Caribbean;7661
Middle East and North Africa;2244
Australia and Oceania;3820
Australia and Oceania;7393
Asia;10000
Australia and Oceania;5709
Central America and the Caribbean;618
Australia and Oceania;7857
Europe;2586
Sub-Saharan Africa;6999
Middle East and North Africa;5319
Sub-Saharan Africa;8801
Sub-Saharan Africa;731
Europe;1426
Middle East and North Africa;3235
Australia and Oceania;5539
Europe;9747
Sub-Saharan Africa;4303
Sub-Saharan Africa;9680
Sub-Saharan Africa;3383
Middle East and North Africa;4947
Central America and the Caribbean;942
Europe;9964
Sub-Saharan Africa;7645
Europe;1644
Europe;6656
Sub-Saharan Africa;9402
Europe;3638
Middle East and North Africa;5150
Middle East and North Africa;6756
Asia;3305
Sub-Saharan Africa;6675
Asia;778
Sub-Saharan Africa;6557
North America;6985
Europe;2067
Central America and the Caribbean;3840
Middle East and North Africa;1370
Sub-Saharan Africa;5756
Sub-Saharan Africa;5128
Asia;9648
Asia;6507
Europe;4930
Europe;1170
Sub-Saharan Africa;3515
Sub-Saharan Africa;7282
Europe;9819
Europe;5506
Europe;754
Sub-Saharan Africa;9006
Middle East and North Africa;5736
Europe;3447
Asia;6677
Europe;6993
Central America and the Caribbean;7993
Sub-Saharan Africa;307
Europe;6597
Middle East and North Africa;6554
Sub-Saharan Africa;1903
Australia and Oceania;1398
Sub-Saharan Africa;5826
Europe;3003
Asia;2779
Middle East and North Africa;2033
Europe;9676
Europe;1651
Sub-Saharan Africa;5932
Asia;7523
Sub-Saharan Africa;3460
Sub-Saharan Africa;7812
Sub-Saharan Africa;6675
Sub-Saharan Africa;3182
Europe;2491
Central America and the Caribbean;6797
Asia;322
Asia;4321
Sub-Saharan Africa;2081
Sub-Saharan Africa;3919
Middle East and North Africa;2184
Asia;6254
Asia;7543
Middle East and North Africa;4491
Europe;7573
Europe;4294
Sub-Saharan Africa;4188
Central America and the Caribbean;3825
Europe;1803
Asia;3751
Europe;7331
Europe;7234
Europe;186
Sub-Saharan Africa;9940
Asia;2282
Sub-Saharan Africa;31
Sub-Saharan Africa;8034
Asia;8172
Europe;4355
Europe;7527
Asia;660
Asia;3760
Sub-Saharan Africa;8862
Europe;5035
Europe;3376
Europe;2016
Sub-Saharan Africa;1116
Europe;7867
Central America and the Caribbean;1495
Asia;8253
Europe;6428
Sub-Saharan Africa;1337
Sub-Saharan Africa;329
Asia;7784
Europe;113
Sub-Saharan Africa;757
Europe;5192
Europe;5921
Middle East and North Africa;7481
Asia;1439
Asia;1394
Central America and the Caribbean;7976
Australia and Oceania;3846
Sub-Saharan Africa;8696
Sub-Saharan Africa;4250
Asia;9262
Middle East and North Africa;4520
North America;7840
Europe;9070
Asia;5092
Middle East and North Africa;4815
Central America and the Caribbean;4183
Australia and Oceania;1169
Europe;778
Sub-Saharan Africa;45
Europe;3039
Asia;5858
Australia and Oceania;1632
Sub-Saharan Africa;5521
Europe;9719
Australia and Oceania;8450
Europe;2967
Australia and Oceania;6557
Asia;9537
Europe;4257
Middle East and North Africa;95
Sub-Saharan Africa;8464
Sub-Saharan Africa;7804
Europe;8591
Sub-Saharan Africa;8329
Europe;6555
Sub-Saharan Africa;9834
Europe;6767
Europe;2982
Europe;6142
Europe;938
Asia;4095
Europe;9366
Asia;2539
Europe;6430
Sub-Saharan Africa;5888
Europe;2793
Sub-Saharan Africa;1057
Middle East and North Africa;1621
Central America and the Caribbean;7459
Sub-Saharan Africa;8577
Middle East and North Africa;7009
Sub-Saharan Africa;1824
Middle East and North Africa;4121
Sub-Saharan Africa;2028
North America;5708
Sub-Saharan Africa;2353
Asia;1185
Asia;8461
Middle East and North Africa;2466
Sub-Saharan Africa;8518
Europe;3965
Sub-Saharan Africa;3187
Sub-Saharan Africa;2596
Sub-Saharan Africa;5633
Sub-Saharan Africa;7773
Europe;1519
Europe;1409
Sub-Saharan Africa;9010
Central America and the Caribbean;7920
Europe;8770
Europe;4220
Europe;3962
Asia;9721
Middle East and North Africa;251
Central America and the Caribbean;6339
Sub-Saharan Africa;5801
Sub-Saharan Africa;8487
Asia;1276
Middle East and North Africa;3080
Australia and Oceania;9840
Asia;9531
Central America and the Caribbean;7157
North America;9755
Europe;1391
Europe;8165
Asia;3207
Asia;1676
Europe;5767
Australia and Oceania;9702
Sub-Saharan Africa;4737
Middle East and North Africa;4157
Central America and the Caribbean;8280
Europe;9455
Europe;7061
Europe;2509
Europe;4243
Asia;2735
Europe;5490
Australia and Oceania;2046
Sub-Saharan Africa;8968
Europe;4855
Sub-Saharan Africa;5339
Europe;8078
Sub-Saharan Africa;7767
Sub-Saharan Africa;1129
Asia;1918
Asia;5920
Europe;5954
Central America and the Caribbean;6867
Australia and Oceania;540
Europe;884
Australia and Oceania;8841
Middle East and North Africa;7384
Central America and the Caribbean;6519
Central America and the Caribbean;8282
Middle East and North Africa;1739
Asia;7991
Europe;5166
Europe;3426
Europe;9963
Central America and the Caribbean;4001
Australia and Oceania;1794
Asia;1629
Sub-Saharan Africa;8823
Middle East and North Africa;726
Europe;1715
Sub-Saharan Africa;8204
Australia and Oceania;3634
Middle East and North Africa;3478
Europe;243
Europe;8463
Europe;9706
Asia;7572
Europe;2689
Asia;7718
Middle East and North Africa;2354
Europe;8318
Europe;4365
Middle East and North Africa;1283
Asia;6888
Middle East and North Africa;1029
Asia;586
Middle East and North Africa;4469
Europe;8622
Middle East and North Africa;1018
Sub-Saharan Africa;6662
Europe;2590
Europe;2869
Central America and the Caribbean;3598
Middle East and North Africa;7907
Europe;956
Europe;4940
Australia and Oceania;4080
Europe;9632
North America;4882
Middle East and North Africa;148
Sub-Saharan Africa;7778
Sub-Saharan Africa;7151
Middle East and North Africa;9680
Australia and Oceania;3806
Asia;3
Sub-Saharan Africa;5776
Sub-Saharan Africa;662
Asia;1226
Central America and the Caribbean;6069
Asia;820
Europe;3140
Australia and Oceania;7721
Central America and the Caribbean;1288
Sub-Saharan Africa;7594
Asia;2427
Asia;8603
Central America and the Caribbean;972
Europe;1412
Sub-Saharan Africa;3836
Sub-Saharan Africa;9185
Sub-Saharan Africa;434
Europe;7586
Asia;2679
Central America and the Caribbean;4779
Australia and Oceania;4986
Asia;1428
Europe;4268
Sub-Saharan Africa;698
Middle East and North Africa;9941
Australia and Oceania;8252
Sub-Saharan Africa;3917
Sub-Saharan Africa;2254
Australia and Oceania;611
Europe;3369
Middle East and North Africa;6937
Asia;4760
Central America and the Caribbean;2309
Central America and the Caribbean;2091
Sub-Saharan Africa;8641
Asia;3527
Sub-Saharan Africa;348
Middle East and North Africa;9732
Sub-Saharan Africa;4342
Asia;3870
Central America and the Caribbean;39
Central America and the Caribbean;1604
Sub-Saharan Africa;9352
Europe;1100
Sub-Saharan Africa;6696
Middle East and North Africa;3020
Middle East and North Africa;8984
Sub-Saharan Africa;529
Europe;5630
Europe;9292
Europe;8549
Europe;7471
Asia;2155
Europe;5732
Sub-Saharan Africa;3362
Europe;7237
Asia;1583
Sub-Saharan Africa;7653
Australia and Oceania;8733
Sub-Saharan Africa;5141
Australia and Oceania;9226
Asia;367
Australia and Oceania;9976
Central America and the Caribbean;6494
Asia;397
North America;9187
Europe;2403
Europe;6610
Sub-Saharan Africa;408
Central America and the Caribbean;9426
Sub-Saharan Africa;1326
Europe;800
Europe;4572
Central America and the Caribbean;6396
Middle East and North Africa;2059
Asia;4378
Central America and the Caribbean;8201
Asia;5409
Europe;9913
Sub-Saharan Africa;2655
Central America and the Caribbean;6608
Europe;1778
Central America and the Caribbean;201
Middle East and North Africa;944
Sub-Saharan Africa;5106
Sub-Saharan Africa;816
Middle East and North Africa;8236
Europe;4558
Sub-Saharan Africa;9006
Asia;7835
Sub-Saharan Africa;9330
Asia;8809
Sub-Saharan Africa;3622
Middle East and North Africa;8147
Europe;8795
Europe;9010
Middle East and North Africa;4265
Sub-Saharan Africa;7065
Australia and Oceania;1945
Sub-Saharan Africa;474
Europe;6249
Middle East and North Africa;9901
Europe;4091
Sub-Saharan Africa;8511
Asia;4886
Australia and Oceania;1969
Europe;546
Sub-Saharan Africa;8437
Europe;5488
Europe;8579
Europe;6623
Middle East and North Africa;5561
Central America and the Caribbean;3367
Sub-Saharan Africa;5046
Europe;7634
Europe;5198
Europe;3838
Central America and the Caribbean;6682
Europe;8892
Central America and the Caribbean;2660
Middle East and North Africa;2211
Europe;8798
Europe;5708
Europe;3259
Europe;3799
Europe;6708
Sub-Saharan Africa;3396
Europe;2308
Asia;3915
Europe;5723
Middle East and North Africa;7269
Central America and the Caribbean;5118
Australia and Oceania;7871
Asia;1157
Australia and Oceania;2637
Sub-Saharan Africa;7004
Europe;981
Europe;8322
Europe;4815
Australia and Oceania;3277
Sub-Saharan Africa;8555
Sub-Saharan Africa;2531
Asia;9115
Sub-Saharan Africa;9249
Europe;5908
Europe;9096
Middle East and North Africa;848
Sub-Saharan Africa;234
Sub-Saharan Africa;8351
Sub-Saharan Africa;3328
Europe;5329
Asia;1543
Europe;1196
Asia;542
Sub-Saharan Africa;7868
Middle East and North Africa;8490
Central America and the Caribbean;9757
Asia;6050
Australia and Oceania;3779
Central America and the Caribbean;6386
Sub-Saharan Africa;9346
Asia;5163
Europe;8374
Sub-Saharan Africa;545
Middle East and North Africa;5275
Europe;3195
Middle East and North Africa;6965
Sub-Saharan Africa;6278
Europe;2857
Europe;5458
Middle East and North Africa;4866
Europe;8898
Australia and Oceania;7404
Europe;7264
Europe;7388
Sub-Saharan Africa;3718
Australia and Oceania;4230
Middle East and North Africa;3926
Central America and the Caribbean;9844
Europe;6051
Asia;8645
Australia and Oceania;757
Australia and Oceania;7547
Sub-Saharan Africa;1208
Europe;5963
Asia;3068
Sub-Saharan Africa;5809
Middle East and North Africa;4502
Sub-Saharan Africa;1497
Australia and Oceania;6173
Sub-Saharan Africa;9942
Middle East and North Africa;1246
Middle East and North Africa;558
Asia;5384
Asia;5260
Asia;6752
Middle East and North Africa;8460
Sub-Saharan Africa;6014
Europe;7074
Middle East and North Africa;6333
Europe;515
Europe;3374
Sub-Saharan Africa;697
Australia and Oceania;5301
Sub-Saharan Africa;2035
Europe;2778
Sub-Saharan Africa;1442
Australia and Oceania;8969
Europe;8332
Europe;9538
Sub-Saharan Africa;4621
Europe;2649
Australia and Oceania;4721
Central America and the Caribbean;8966
Europe;5546
Sub-Saharan Africa;1653
Middle East and North Africa;6512
Europe;6375
Sub-Saharan Africa;9531
North America;1295
Central America and the Caribbean;9018
Asia;7078
Europe;1887
Australia and Oceania;6887
Europe;7552
Europe;6387
Sub-Saharan Africa;7927
Central America and the Caribbean;3741
Asia;7426
Europe;9614
Asia;2964
Sub-Saharan Africa;7169
Asia;3954
Sub-Saharan Africa;2072
Australia and Oceania;2310
Sub-Saharan Africa;2485
Central America and the Caribbean;2446
Sub-Saharan Africa;9073
Sub-Saharan Africa;1277
Europe;5000
Europe;8217
Sub-Saharan Africa;5931
Sub-Saharan Africa;5179
Central America and the Caribbean;28
Central America and the Caribbean;6577
Europe;7957
Central America and the Caribbean;9327
Asia;2880
Sub-Saharan Africa;2841
Sub-Saharan Africa;464
Europe;9034
Asia;8870
Middle East and North Africa;2320
Europe;8764
Sub-Saharan Africa;9613
Asia;3309
Europe;327
Sub-Saharan Africa;8170
Asia;6376
Europe;1511
Central America and the Caribbean;2174
Europe;3995
Sub-Saharan Africa;4635
Sub-Saharan Africa;8787
Europe;3174
Europe;1551
Asia;9704
Asia;450
Asia;8639
Europe;6150
Europe;6894
Asia;1813
Middle East and North Africa;3882
North America;3105
North America;1518
Asia;8189
Asia;4216
Europe;7729
Europe;8889
Central America and the Caribbean;4889
Asia;4952
Central America and the Caribbean;5333
Sub-Saharan Africa;4319
Sub-Saharan Africa;7226
Central America and the Caribbean;1403
Middle East and North Africa;1231
Australia and Oceania;3120
Europe;513
Asia;8883
Sub-Saharan Africa;735
Middle East and North Africa;606
Central America and the Caribbean;62
Australia and Oceania;2703
Central America and the Caribbean;9157
Asia;2088
Sub-Saharan Africa;1186
Central America and the Caribbean;8175
Europe;1811
Sub-Saharan Africa;2879
Europe;9197
Europe;613
Asia;4008
Asia;8292
Asia;9407
Sub-Saharan Africa;5329
Europe;1060
Asia;3638
Sub-Saharan Africa;7130
Middle East and North Africa;7635
Sub-Saharan Africa;8282
Middle East and North Africa;4232
Europe;7678
Asia;2844
Central America and the Caribbean;984
Asia;5384
Australia and Oceania;6363
Sub-Saharan Africa;6268
Asia;4479
Sub-Saharan Africa;2409
Asia;8498
Central America and the Caribbean;3220
Sub-Saharan Africa;4081
Asia;617
Australia and Oceania;9394
Asia;9012
Asia;5101
Asia;5321
Middle East and North Africa;4366
Europe;8958
Europe;2852
Europe;1835
Middle East and North Africa;8724
Europe;8368
Middle East and North Africa;2647
Europe;5471
Europe;7783
Middle East and North Africa;2557
Sub-Saharan Africa;9797
Europe;1540
Sub-Saharan Africa;6853
Middle East and North Africa;6835
Europe;9616
Sub-Saharan Africa;5356
Europe;1249
Sub-Saharan Africa;6517
Sub-Saharan Africa;7416
Asia;2232
Europe;6281
Central America and the Caribbean;6914
Europe;8509
North America;7478
Sub-Saharan Africa;7264
Sub-Saharan Africa;3339
Middle East and North Africa;8208
Sub-Saharan Africa;6409
Central America and the Caribbean;9508
Sub-Saharan Africa;1104
Sub-Saharan Africa;1826
Asia;4337
Australia and Oceania;8327
Middle East and North Africa;5522
Sub-Saharan Africa;4675
Sub-Saharan Africa;6573
Middle East and North Africa;9033
Middle East and North Africa;1905
Europe;2067
Europe;8431
Sub-Saharan Africa;6940
Europe;5566
Middle East and North Africa;9315
Europe;5223
Middle East and North Africa;7358
Australia and Oceania;1817
Europe;1732
Australia and Oceania;2262
Sub-Saharan Africa;5601
Europe;5972
Europe;4629
Sub-Saharan Africa;4860
Sub-Saharan Africa;6981
Europe;3341
Sub-Saharan Africa;3320
Australia and Oceania;8329
Asia;6811
Sub-Saharan Africa;9238
Sub-Saharan Africa;3117
Middle East and North Africa;7983
North America;403
Europe;8976
Australia and Oceania;9332
Central America and the Caribbean;9133
Sub-Saharan Africa;3070
Sub-Saharan Africa;7867
Central America and the Caribbean;7279
Sub-Saharan Africa;7092
Europe;124
Sub-Saharan Africa;1223
Asia;2269
Middle East and North Africa;7173
Central America and the Caribbean;6877
Middle East and North Africa;4356
Australia and Oceania;9614
Middle East and North Africa;4688
Sub-Saharan Africa;8643
Europe;2580
North America;4629
Asia;4949
Europe;734
Sub-Saharan Africa;1207
Middle East and North Africa;2624
Middle East and North Africa;3269
Sub-Saharan Africa;8462
Sub-Saharan Africa;5549
Europe;8912
Middle East and North Africa;4961
Europe;7139
Central America and the Caribbean;920
Sub-Saharan Africa;8807
Europe;5338
Sub-Saharan Africa;2079
Sub-Saharan Africa;2630
Middle East and North Africa;7620
Asia;9710
Asia;8594
Sub-Saharan Africa;5993
Europe;664
Sub-Saharan Africa;3392
Sub-Saharan Africa;1995
Asia;6322
Australia and Oceania;3251
Sub-Saharan Africa;1696
Central America and the Caribbean;7597
Australia and Oceania;8928
Australia and Oceania;695
Sub-Saharan Africa;9933
North America;710
Sub-Saharan Africa;9125
Australia and Oceania;8307
Sub-Saharan Africa;3417
Middle East and North Africa;6648
Australia and Oceania;2224
Europe;1399
Europe;7460
Sub-Saharan Africa;724
Australia and Oceania;3539
Europe;5286
Middle East and North Africa;7375
Asia;8249
Middle East and North Africa;8382
Sub-Saharan Africa;5278
Europe;8474
Middle East and North Africa;4537
Asia;2065
Sub-Saharan Africa;6689
Middle East and North Africa;6069
Central America and the Caribbean;4899
Sub-Saharan Africa;9901
Sub-Saharan Africa;4830
Europe;5474
Sub-Saharan Africa;4648
Middle East and North Africa;7202
Asia;5015
Middle East and North Africa;2000
Sub-Saharan Africa;9097
Europe;9281
Middle East and North Africa;2557
Asia;960
Central America and the Caribbean;3558
Sub-Saharan Africa;1450
Sub-Saharan Africa;2766
Europe;7667
Europe;3344
Sub-Saharan Africa;9023
Sub-Saharan Africa;957
Europe;7432
Europe;3767
Australia and Oceania;7310
Sub-Saharan Africa;2440
Australia and Oceania;5570
Asia;140
Europe;1625
Middle East and North Africa;2530
Asia;7391
Sub-Saharan Africa;7775
Australia and Oceania;7281
Central America and the Caribbean;6539
Middle East and North Africa;8209
Europe;1985
Sub-Saharan Africa;9590
Middle East and North Africa;9778
Sub-Saharan Africa;3336
Sub-Saharan Africa;8082
Asia;3863
Europe;7561
Europe;8085
Europe;1379
Central America and the Caribbean;5415
Sub-Saharan Africa;5199
Middle East and North Africa;7768
Australia and Oceania;7187
Central America and the Caribbean;9557
Central America and the Caribbean;8007
Sub-Saharan Africa;7697
Sub-Saharan Africa;821
Europe;1602
Europe;1295
Europe;3186
Australia and Oceania;7592
Sub-Saharan Africa;6862
Europe;376
Europe;9546
Middle East and North Africa;2812
Central America and the Caribbean;650
Australia and Oceania;564
Europe;2090
Sub-Saharan Africa;1795
Central America and the Caribbean;8279
Sub-Saharan Africa;7170
Sub-Saharan Africa;6130
Europe;9853
Middle East and North Africa;5060
Australia and Oceania;5507
Australia and Oceania;6980
Asia;2297
Sub-Saharan Africa;6306
Asia;887
Middle East and North Africa;9952
Europe;4442
Central America and the Caribbean;7331
Central America and the Caribbean;8624
Asia;357
Central America and the Caribbean;1598
Middle East and North Africa;3445
Sub-Saharan Africa;4029
Sub-Saharan Africa;3509
Europe;9079
Sub-Saharan Africa;9963
Middle East and North Africa;2414
Sub-Saharan Africa;4720
Sub-Saharan Africa;2198
Middle East and North Africa;2196
Asia;9094
Sub-Saharan Africa;9303
Sub-Saharan Africa;6266
Europe;5456
Sub-Saharan Africa;9379
Sub-Saharan Africa;2570
Asia;6596
Asia;5057
Asia;8582
Europe;9833
Central America and the Caribbean;8501
Europe;6311
Australia and Oceania;2017
Sub-Saharan Africa;6405
Central America and the Caribbean;7294
Asia;4530
Asia;4995
Sub-Saharan Africa;7600
Europe;8286
Europe;5027
Sub-Saharan Africa;2829
Central America and the Caribbean;8728
Europe;6790
Europe;3115
Europe;832
Central America and the Caribbean;5102
Middle East and North Africa;8119
Asia;4105
Europe;4315
Middle East and North Africa;2036
Asia;7585
Europe;3310
Asia;8592
Sub-Saharan Africa;4841
Europe;501
Asia;6044
Asia;8975
Sub-Saharan Africa;8831
Central America and the Caribbean;2179
Europe;7617
Sub-Saharan Africa;776
Central America and the Caribbean;9317
Middle East and North Africa;7931
Central America and the Caribbean;3344
Middle East and North Africa;9308
Central America and the Caribbean;1612
Europe;3071
Middle East and North Africa;8536
Middle East and North Africa;9884
Europe;1029
Sub-Saharan Africa;2911
Sub-Saharan Africa;8505
Asia;7816
Asia;2879
